model,leader,entry_time,exit_time,direction,xau_entry,xau_exit,gross_per_oz,cost_per_oz,ounces,notional,pnl,pnl_per_dollar,desired_notional,equity
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 02:00:00+00:00,2026-05-28 10:00:00,-1,4394.4465,4383.11,11.336500000000342,1.6649872426442913,113.77997206246566,500000.0,1100.424451333752,0.0022008489026675037,500000.0,1100.424451333752
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 03:00:00+00:00,2026-05-28 11:00:00,-1,4374.93,4388.115,-13.18499999999949,1.713254647557658,114.28754288640046,500000.0,-1702.6849169652025,-0.0034053698339304053,500000.0,-602.2604656314506
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 04:00:00+00:00,2026-05-28 12:00:00,-1,4373.135,4432.2365,-59.10149999999976,1.818033329738251,114.3344534298621,500000.0,-6965.201546457863,-0.013930403092915725,500000.0,-7567.462012089313
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 05:00:00+00:00,2026-05-28 13:00:00,-1,4388.1385,4430.54,-42.40149999999994,1.7292972410821565,113.94353209225278,500000.0,-5028.418911695939,-0.010056837823391878,500000.0,-12595.880923785251
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 06:00:00+00:00,2026-05-28 14:00:00,-1,4383.5765,4469.431500000001,-85.85500000000047,1.6887195592099233,114.06211343636868,500000.0,-9985.421671004304,-0.019970843342008607,500000.0,-22581.302594789555
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 07:00:00+00:00,2026-05-28 15:00:00,-1,4387.635,4482.389999999999,-94.7549999999992,1.7442367669523497,113.95660760295694,500000.0,-10996.725658236333,-0.021993451316472668,500000.0,-33578.028253025885
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 13:00:00+00:00,2026-05-28 22:00:00,1,4430.54,4491.3315,60.79150000000027,1.490764396314386,112.85306080071504,500000.0,6692.26952060989,0.01338453904121978,500000.0,-26885.758732415994
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 14:00:00+00:00,2026-05-28 23:00:00,1,4469.431500000001,4495.2635,25.831999999999425,1.766677402815019,111.8710511616522,500000.0,2692.2129354912813,0.005384425870982563,500000.0,-24193.545796924715
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 15:00:00+00:00,2026-05-29 00:00:00,1,4482.389999999999,4496.3,13.910000000000764,1.644557913330426,111.54763418622656,500000.0,1368.1810470162502,0.0027363620940325005,500000.0,-22825.364749908465
GC=F_60m_volz_follow_w6_q0.65_all_h8_cost2.0,GC=F,2026-05-28 16:00:00+00:00,2026-05-29 01:00:00,1,4511.0485,4506.69,-4.3585000000002765,1.5379692555485713,110.83897679220253,500000.0,-653.5586189717144,-0.0013071172379434289,500000.0,-23478.92336888018
