time,FXE
2023-07-24 12:00:00+00:00,102.38
2023-07-24 13:30:00+00:00,102.25
2023-07-24 14:30:00+00:00,102.26000213623047
2023-07-24 15:30:00+00:00,102.33000183105469
2023-07-24 16:30:00+00:00,102.31999969482422
2023-07-24 17:30:00+00:00,102.27899932861328
2023-07-24 18:30:00+00:00,102.18939971923828
2023-07-24 19:30:00+00:00,102.16999816894531
2023-07-24 20:00:00+00:00,102.07
2023-07-24 22:00:00+00:00,102.59
2023-07-25 11:00:00+00:00,102.1
2023-07-25 13:00:00+00:00,101.9
2023-07-25 13:30:00+00:00,101.88999938964844
2023-07-25 14:30:00+00:00,102.05999755859375
2023-07-25 15:30:00+00:00,102.05999755859375
2023-07-25 16:30:00+00:00,101.95999908447266
2023-07-25 17:30:00+00:00,101.94999694824219
2023-07-25 18:30:00+00:00,102.05999755859375
2023-07-25 19:30:00+00:00,102.0999984741211
2023-07-25 20:00:00+00:00,102.1
2023-07-26 12:00:00+00:00,102.3
2023-07-26 13:30:00+00:00,102.22000122070312
2023-07-26 14:30:00+00:00,102.29000091552734
2023-07-26 15:30:00+00:00,102.30000305175781
2023-07-26 16:30:00+00:00,102.19999694824219
2023-07-26 17:30:00+00:00,102.18000030517578
2023-07-26 18:30:00+00:00,102.38999938964844
2023-07-26 19:30:00+00:00,102.47000122070312
2023-07-26 20:00:00+00:00,102.48
2023-07-26 23:00:00+00:00,102.8
2023-07-27 11:00:00+00:00,102.8
2023-07-27 12:00:00+00:00,102.74
2023-07-27 13:00:00+00:00,102.0
2023-07-27 13:30:00+00:00,101.55000305175781
2023-07-27 14:30:00+00:00,101.55000305175781
2023-07-27 15:30:00+00:00,101.58000183105469
2023-07-27 16:30:00+00:00,101.5999984741211
2023-07-27 17:30:00+00:00,101.4999008178711
2023-07-27 18:30:00+00:00,101.30999755859375
2023-07-27 19:30:00+00:00,101.29000091552734
2023-07-27 20:00:00+00:00,101.3
2023-07-28 11:00:00+00:00,101.65
2023-07-28 12:00:00+00:00,101.9
2023-07-28 13:30:00+00:00,102.05000305175781
2023-07-28 14:30:00+00:00,101.86000061035156
2023-07-28 15:30:00+00:00,101.93000030517578
2023-07-28 16:30:00+00:00,101.88999938964844
2023-07-28 17:30:00+00:00,101.82469940185547
2023-07-28 18:30:00+00:00,101.8499984741211
2023-07-28 19:30:00+00:00,101.83000183105469
2023-07-28 20:00:00+00:00,101.79
2023-07-31 12:00:00+00:00,101.85
2023-07-31 13:30:00+00:00,101.98999786376953
2023-07-31 14:30:00+00:00,101.81999969482422
2023-07-31 15:30:00+00:00,101.75
2023-07-31 16:30:00+00:00,101.69000244140625
2023-07-31 17:30:00+00:00,101.69920349121094
2023-07-31 18:30:00+00:00,101.5999984741211
2023-07-31 19:30:00+00:00,101.5999984741211
2023-07-31 20:00:00+00:00,101.59
2023-07-31 21:00:00+00:00,101.9
2023-07-31 23:00:00+00:00,101.0
2023-08-01 10:00:00+00:00,101.24
2023-08-01 11:00:00+00:00,101.28
2023-08-01 12:00:00+00:00,101.16
2023-08-01 13:30:00+00:00,101.16020202636719
2023-08-01 14:30:00+00:00,101.17990112304688
2023-08-01 15:30:00+00:00,101.2300033569336
2023-08-01 16:30:00+00:00,101.20500183105469
2023-08-01 17:30:00+00:00,101.20999908447266
2023-08-01 18:30:00+00:00,101.2699966430664
2023-08-01 19:30:00+00:00,101.30000305175781
2023-08-01 20:00:00+00:00,101.21
2023-08-02 12:00:00+00:00,101.36
2023-08-02 13:00:00+00:00,101.1
2023-08-02 13:30:00+00:00,100.80000305175781
2023-08-02 14:30:00+00:00,100.88899993896484
2023-08-02 15:30:00+00:00,100.9000015258789
2023-08-02 16:30:00+00:00,101.04000091552734
2023-08-02 17:30:00+00:00,100.98729705810547
2023-08-02 18:30:00+00:00,100.93000030517578
2023-08-02 19:30:00+00:00,100.91999816894531
2023-08-02 20:00:00+00:00,100.92
2023-08-03 13:30:00+00:00,100.95999908447266
2023-08-03 14:30:00+00:00,101.0
2023-08-03 15:30:00+00:00,101.05729675292969
2023-08-03 16:30:00+00:00,101.04000091552734
2023-08-03 17:30:00+00:00,101.04000091552734
2023-08-03 18:30:00+00:00,100.94999694824219
2023-08-03 19:30:00+00:00,100.97000122070312
2023-08-03 20:00:00+00:00,100.9
2023-08-04 08:00:00+00:00,100.99
2023-08-04 13:00:00+00:00,101.61
2023-08-04 13:30:00+00:00,101.66999816894531
2023-08-04 14:30:00+00:00,101.87000274658203
2023-08-04 15:30:00+00:00,101.83999633789062
2023-08-04 16:30:00+00:00,101.8499984741211
2023-08-04 17:30:00+00:00,101.68000030517578
2023-08-04 18:30:00+00:00,101.58999633789062
2023-08-04 19:30:00+00:00,101.56500244140625
2023-08-04 20:00:00+00:00,101.57
2023-08-07 12:00:00+00:00,101.35
2023-08-07 13:30:00+00:00,101.43000030517578
2023-08-07 14:30:00+00:00,101.51010131835938
2023-08-07 15:30:00+00:00,101.44999694824219
2023-08-07 16:30:00+00:00,101.51899719238281
2023-08-07 17:30:00+00:00,101.5199966430664
2023-08-07 18:30:00+00:00,101.56999969482422
2023-08-07 19:30:00+00:00,101.55999755859375
2023-08-07 20:00:00+00:00,101.45
2023-08-08 10:00:00+00:00,101.1
2023-08-08 12:00:00+00:00,101.04
2023-08-08 13:30:00+00:00,100.97000122070312
2023-08-08 14:30:00+00:00,101.05000305175781
2023-08-08 15:30:00+00:00,101.0999984741211
2023-08-08 16:30:00+00:00,101.11000061035156
2023-08-08 18:30:00+00:00,101.16000366210938
2023-08-08 19:30:00+00:00,101.12999725341797
2023-08-09 08:00:00+00:00,101.29
2023-08-09 11:00:00+00:00,101.31
2023-08-09 12:00:00+00:00,101.39
2023-08-09 13:30:00+00:00,101.43000030517578
2023-08-09 14:30:00+00:00,101.33999633789062
2023-08-09 15:30:00+00:00,101.31829833984375
2023-08-09 16:30:00+00:00,101.33999633789062
2023-08-09 17:30:00+00:00,101.3375015258789
2023-08-09 18:30:00+00:00,101.3104019165039
2023-08-09 19:30:00+00:00,101.29000091552734
2023-08-09 20:00:00+00:00,101.31
2023-08-10 11:00:00+00:00,101.781
2023-08-10 13:00:00+00:00,101.75
2023-08-10 13:30:00+00:00,101.80000305175781
2023-08-10 14:30:00+00:00,101.6520004272461
2023-08-10 15:30:00+00:00,101.70999908447266
2023-08-10 16:30:00+00:00,101.62000274658203
2023-08-10 17:30:00+00:00,101.45999908447266
2023-08-10 18:30:00+00:00,101.41000366210938
2023-08-10 19:30:00+00:00,101.3499984741211
2023-08-10 20:00:00+00:00,101.34
2023-08-11 13:30:00+00:00,101.33000183105469
2023-08-11 14:30:00+00:00,101.17250061035156
2023-08-11 15:30:00+00:00,101.18000030517578
2023-08-11 16:30:00+00:00,101.06999969482422
