time,LQD
2023-07-24 11:00:00+00:00,108.3
2023-07-24 12:00:00+00:00,108.05
2023-07-24 13:00:00+00:00,108.2
2023-07-24 13:30:00+00:00,108.1449966430664
2023-07-24 14:30:00+00:00,108.06500244140625
2023-07-24 15:30:00+00:00,107.95500183105469
2023-07-24 16:30:00+00:00,107.94000244140625
2023-07-24 17:30:00+00:00,107.91999816894531
2023-07-24 18:30:00+00:00,107.87999725341797
2023-07-24 19:30:00+00:00,107.81500244140625
2023-07-24 20:00:00+00:00,107.8
2023-07-24 23:00:00+00:00,107.82
2023-07-25 10:00:00+00:00,107.9
2023-07-25 12:00:00+00:00,107.64
2023-07-25 13:00:00+00:00,107.57
2023-07-25 13:30:00+00:00,107.70999908447266
2023-07-25 14:30:00+00:00,107.76499938964844
2023-07-25 15:30:00+00:00,107.75499725341797
2023-07-25 16:30:00+00:00,107.7750015258789
2023-07-25 17:30:00+00:00,107.6500015258789
2023-07-25 18:30:00+00:00,107.62999725341797
2023-07-25 19:30:00+00:00,107.68000030517578
2023-07-25 20:00:00+00:00,107.67
2023-07-25 21:00:00+00:00,107.71
2023-07-26 10:00:00+00:00,107.7
2023-07-26 12:00:00+00:00,107.71
2023-07-26 13:00:00+00:00,108.0
2023-07-26 13:30:00+00:00,107.9000015258789
2023-07-26 14:30:00+00:00,107.9000015258789
2023-07-26 15:30:00+00:00,107.85009765625
2023-07-26 16:30:00+00:00,107.81500244140625
2023-07-26 17:30:00+00:00,107.80500030517578
2023-07-26 18:30:00+00:00,108.15499877929688
2023-07-26 19:30:00+00:00,108.18499755859375
2023-07-26 20:00:00+00:00,108.04
2023-07-27 08:00:00+00:00,108.49
2023-07-27 11:00:00+00:00,108.17
2023-07-27 12:00:00+00:00,108.3
2023-07-27 13:00:00+00:00,108.06
2023-07-27 13:30:00+00:00,107.61000061035156
2023-07-27 14:30:00+00:00,107.63500213623047
2023-07-27 15:30:00+00:00,107.61499786376953
2023-07-27 16:30:00+00:00,107.37000274658203
2023-07-27 17:30:00+00:00,106.88999938964844
2023-07-27 18:30:00+00:00,106.91500091552734
2023-07-27 19:30:00+00:00,106.86000061035156
2023-07-27 20:00:00+00:00,106.96
2023-07-27 21:00:00+00:00,107.0
2023-07-27 23:00:00+00:00,107.24
2023-07-28 10:00:00+00:00,107.3
2023-07-28 11:00:00+00:00,107.2
2023-07-28 12:00:00+00:00,107.34
2023-07-28 13:00:00+00:00,107.3
2023-07-28 13:30:00+00:00,107.40499877929688
2023-07-28 14:30:00+00:00,107.55999755859375
2023-07-28 15:30:00+00:00,107.58999633789062
2023-07-28 16:30:00+00:00,107.40499877929688
2023-07-28 17:30:00+00:00,107.47000122070312
2023-07-28 18:30:00+00:00,107.51499938964844
2023-07-28 19:30:00+00:00,107.55000305175781
2023-07-28 20:00:00+00:00,107.4764
2023-07-28 21:00:00+00:00,107.01
2023-07-28 23:00:00+00:00,107.6
2023-07-31 09:00:00+00:00,107.55
2023-07-31 11:00:00+00:00,107.55
2023-07-31 12:00:00+00:00,106.9515
2023-07-31 13:00:00+00:00,107.55
2023-07-31 13:30:00+00:00,107.7699966430664
2023-07-31 14:30:00+00:00,107.83999633789062
2023-07-31 15:30:00+00:00,107.97000122070312
2023-07-31 16:30:00+00:00,107.94000244140625
2023-07-31 17:30:00+00:00,107.8499984741211
2023-07-31 18:30:00+00:00,107.81999969482422
2023-07-31 19:30:00+00:00,107.87000274658203
2023-07-31 20:00:00+00:00,107.65
2023-07-31 21:00:00+00:00,107.65
2023-07-31 22:00:00+00:00,107.56
2023-07-31 23:00:00+00:00,107.85
2023-08-01 08:00:00+00:00,107.4
2023-08-01 09:00:00+00:00,107.17
2023-08-01 10:00:00+00:00,107.48
2023-08-01 11:00:00+00:00,106.99
2023-08-01 12:00:00+00:00,107.19
2023-08-01 13:00:00+00:00,106.82
2023-08-01 13:30:00+00:00,106.61090087890625
2023-08-01 14:30:00+00:00,106.50499725341797
2023-08-01 15:30:00+00:00,106.43000030517578
2023-08-01 16:30:00+00:00,106.375
2023-08-01 17:30:00+00:00,106.41999816894531
2023-08-01 18:30:00+00:00,106.36000061035156
2023-08-01 19:30:00+00:00,106.42500305175781
2023-08-01 20:00:00+00:00,106.44
2023-08-01 21:00:00+00:00,106.43
2023-08-01 22:00:00+00:00,106.47
2023-08-02 09:00:00+00:00,106.41
2023-08-02 11:00:00+00:00,106.41
2023-08-02 12:00:00+00:00,106.27
2023-08-02 13:00:00+00:00,105.86
2023-08-02 13:30:00+00:00,105.6500015258789
2023-08-02 14:30:00+00:00,105.43000030517578
2023-08-02 15:30:00+00:00,105.63999938964844
2023-08-02 16:30:00+00:00,105.83499908447266
2023-08-02 17:30:00+00:00,105.6624984741211
2023-08-02 18:30:00+00:00,105.70999908447266
2023-08-02 19:30:00+00:00,105.77999877929688
2023-08-02 20:00:00+00:00,105.76
2023-08-02 21:00:00+00:00,105.76
2023-08-02 23:00:00+00:00,105.76
2023-08-03 08:00:00+00:00,105.15
2023-08-03 11:00:00+00:00,105.57
2023-08-03 12:00:00+00:00,105.13
2023-08-03 13:00:00+00:00,104.92
2023-08-03 13:30:00+00:00,104.66000366210938
2023-08-03 14:30:00+00:00,104.82499694824219
2023-08-03 15:30:00+00:00,104.75
2023-08-03 16:30:00+00:00,104.7699966430664
2023-08-03 17:30:00+00:00,104.88999938964844
2023-08-03 18:30:00+00:00,104.7750015258789
2023-08-03 19:30:00+00:00,104.81999969482422
2023-08-03 20:00:00+00:00,105.59
2023-08-03 21:00:00+00:00,104.81
2023-08-03 22:00:00+00:00,104.81
2023-08-03 23:00:00+00:00,105.3
2023-08-04 11:00:00+00:00,105.15
2023-08-04 12:00:00+00:00,104.82
2023-08-04 13:30:00+00:00,105.66999816894531
2023-08-04 14:30:00+00:00,105.80500030517578
2023-08-04 15:30:00+00:00,105.9625015258789
2023-08-04 16:30:00+00:00,105.86499786376953
2023-08-04 17:30:00+00:00,105.83000183105469
2023-08-04 18:30:00+00:00,106.01000213623047
2023-08-04 19:30:00+00:00,105.91000366210938
2023-08-04 20:00:00+00:00,105.8
2023-08-04 21:00:00+00:00,105.9
2023-08-04 23:00:00+00:00,106.41
2023-08-07 08:00:00+00:00,105.9
2023-08-07 10:00:00+00:00,105.45
2023-08-07 11:00:00+00:00,105.55
2023-08-07 12:00:00+00:00,105.9
