time,EEM
2026-03-25 08:00:00+00:00,57.5
2026-03-25 08:05:00+00:00,57.6
2026-03-25 08:10:00+00:00,57.6
2026-03-25 08:20:00+00:00,57.79
2026-03-25 08:25:00+00:00,57.79
2026-03-25 08:35:00+00:00,57.76
2026-03-25 08:40:00+00:00,57.76
2026-03-25 08:55:00+00:00,57.76
2026-03-25 09:00:00+00:00,57.72
2026-03-25 09:10:00+00:00,57.77
2026-03-25 09:25:00+00:00,57.77
2026-03-25 09:40:00+00:00,57.77
2026-03-25 09:50:00+00:00,57.38
2026-03-25 09:55:00+00:00,57.38
2026-03-25 10:00:00+00:00,57.55
2026-03-25 10:10:00+00:00,57.67
2026-03-25 10:20:00+00:00,57.67
2026-03-25 10:25:00+00:00,57.67
2026-03-25 10:30:00+00:00,57.69
2026-03-25 10:40:00+00:00,57.69
2026-03-25 10:45:00+00:00,57.55
2026-03-25 10:55:00+00:00,57.64
2026-03-25 11:00:00+00:00,57.6
2026-03-25 11:05:00+00:00,57.66
2026-03-25 11:10:00+00:00,57.6
2026-03-25 11:25:00+00:00,57.83
2026-03-25 11:30:00+00:00,57.77
2026-03-25 11:40:00+00:00,57.84
2026-03-25 11:50:00+00:00,57.67
2026-03-25 11:55:00+00:00,57.67
2026-03-25 12:00:00+00:00,57.43
2026-03-25 12:05:00+00:00,57.7952
2026-03-25 12:10:00+00:00,57.937
2026-03-25 12:15:00+00:00,57.65
2026-03-25 12:20:00+00:00,57.56
2026-03-25 12:25:00+00:00,57.47
2026-03-25 12:30:00+00:00,57.3
2026-03-25 12:35:00+00:00,57.51
2026-03-25 12:40:00+00:00,57.4
2026-03-25 12:45:00+00:00,57.4
2026-03-25 12:50:00+00:00,57.42
2026-03-25 12:55:00+00:00,57.45
2026-03-25 13:00:00+00:00,57.49
2026-03-25 13:05:00+00:00,57.48
2026-03-25 13:10:00+00:00,57.44
2026-03-25 13:30:00+00:00,57.40999984741211
2026-03-25 13:35:00+00:00,57.47200012207031
2026-03-25 13:40:00+00:00,57.400001525878906
2026-03-25 13:45:00+00:00,57.220001220703125
2026-03-25 13:50:00+00:00,57.09000015258789
2026-03-25 13:55:00+00:00,57.14500045776367
2026-03-25 14:00:00+00:00,57.25
2026-03-25 14:05:00+00:00,57.369998931884766
2026-03-25 14:10:00+00:00,57.45500183105469
2026-03-25 14:15:00+00:00,57.525001525878906
2026-03-25 14:20:00+00:00,57.470001220703125
2026-03-25 14:25:00+00:00,57.56999969482422
2026-03-25 14:30:00+00:00,57.654998779296875
2026-03-25 14:35:00+00:00,57.599998474121094
2026-03-25 14:40:00+00:00,57.630001068115234
2026-03-25 14:45:00+00:00,57.720001220703125
2026-03-25 14:50:00+00:00,57.654998779296875
2026-03-25 14:55:00+00:00,57.625
2026-03-25 15:00:00+00:00,57.61000061035156
2026-03-25 15:05:00+00:00,57.400001525878906
2026-03-25 15:10:00+00:00,57.36000061035156
2026-03-25 15:15:00+00:00,57.20000076293945
2026-03-25 15:20:00+00:00,57.470001220703125
2026-03-25 15:25:00+00:00,57.53499984741211
2026-03-25 15:30:00+00:00,57.540000915527344
2026-03-25 15:35:00+00:00,57.41999816894531
2026-03-25 15:40:00+00:00,57.439998626708984
2026-03-25 15:45:00+00:00,57.400001525878906
2026-03-25 15:50:00+00:00,57.39500045776367
2026-03-25 15:55:00+00:00,57.439998626708984
2026-03-25 16:00:00+00:00,57.369998931884766
2026-03-25 16:05:00+00:00,57.400001525878906
2026-03-25 16:10:00+00:00,57.40999984741211
2026-03-25 16:15:00+00:00,57.380001068115234
2026-03-25 16:20:00+00:00,57.55500030517578
2026-03-25 16:25:00+00:00,57.56999969482422
2026-03-25 16:30:00+00:00,57.619998931884766
2026-03-25 16:35:00+00:00,57.59000015258789
2026-03-25 16:40:00+00:00,57.6150016784668
2026-03-25 16:45:00+00:00,57.57500076293945
2026-03-25 16:50:00+00:00,57.61000061035156
2026-03-25 16:55:00+00:00,57.58000183105469
2026-03-25 17:00:00+00:00,57.54999923706055
2026-03-25 17:05:00+00:00,57.4900016784668
2026-03-25 17:10:00+00:00,57.54999923706055
2026-03-25 17:15:00+00:00,57.51499938964844
2026-03-25 17:20:00+00:00,57.54999923706055
2026-03-25 17:25:00+00:00,57.595001220703125
2026-03-25 17:30:00+00:00,57.6349983215332
2026-03-25 17:35:00+00:00,57.67499923706055
2026-03-25 17:40:00+00:00,57.71989822387695
2026-03-25 17:45:00+00:00,57.630001068115234
2026-03-25 17:50:00+00:00,57.560001373291016
2026-03-25 17:55:00+00:00,57.56999969482422
2026-03-25 18:00:00+00:00,57.57500076293945
2026-03-25 18:05:00+00:00,57.595001220703125
2026-03-25 18:10:00+00:00,57.599998474121094
2026-03-25 18:15:00+00:00,57.584999084472656
2026-03-25 18:20:00+00:00,57.6349983215332
2026-03-25 18:25:00+00:00,57.56999969482422
2026-03-25 18:30:00+00:00,57.60499954223633
2026-03-25 18:35:00+00:00,57.54999923706055
2026-03-25 18:40:00+00:00,57.4900016784668
2026-03-25 18:45:00+00:00,57.470001220703125
2026-03-25 18:50:00+00:00,57.470001220703125
