time,SLV
2023-07-24 08:00:00+00:00,22.51
2023-07-24 09:00:00+00:00,22.57
2023-07-24 10:00:00+00:00,22.57
2023-07-24 11:00:00+00:00,22.63
2023-07-24 12:00:00+00:00,22.5
2023-07-24 13:00:00+00:00,22.44
2023-07-24 13:30:00+00:00,22.290000915527344
2023-07-24 14:30:00+00:00,22.40999984741211
2023-07-24 15:30:00+00:00,22.405000686645508
2023-07-24 16:30:00+00:00,22.395000457763672
2023-07-24 17:30:00+00:00,22.34000015258789
2023-07-24 18:30:00+00:00,22.323999404907227
2023-07-24 19:30:00+00:00,22.329999923706055
2023-07-24 20:00:00+00:00,22.33
2023-07-24 21:00:00+00:00,22.32
2023-07-24 22:00:00+00:00,22.32
2023-07-24 23:00:00+00:00,22.305
2023-07-25 08:00:00+00:00,22.52
2023-07-25 09:00:00+00:00,22.61
2023-07-25 10:00:00+00:00,22.56
2023-07-25 11:00:00+00:00,22.5
2023-07-25 12:00:00+00:00,22.55
2023-07-25 13:00:00+00:00,22.56
2023-07-25 13:30:00+00:00,22.58009910583496
2023-07-25 14:30:00+00:00,22.65999984741211
2023-07-25 15:30:00+00:00,22.649999618530273
2023-07-25 16:30:00+00:00,22.618799209594727
2023-07-25 17:30:00+00:00,22.614999771118164
2023-07-25 18:30:00+00:00,22.635000228881836
2023-07-25 19:30:00+00:00,22.6200008392334
2023-07-25 20:00:00+00:00,22.6496
2023-07-25 21:00:00+00:00,22.645
2023-07-25 22:00:00+00:00,22.64
2023-07-25 23:00:00+00:00,22.62
2023-07-26 08:00:00+00:00,22.67
2023-07-26 09:00:00+00:00,22.67
2023-07-26 10:00:00+00:00,22.65
2023-07-26 11:00:00+00:00,22.65
2023-07-26 12:00:00+00:00,22.63
2023-07-26 13:00:00+00:00,22.5908
2023-07-26 13:30:00+00:00,22.540000915527344
2023-07-26 14:30:00+00:00,22.859899520874023
2023-07-26 15:30:00+00:00,22.834999084472656
2023-07-26 16:30:00+00:00,22.75
2023-07-26 17:30:00+00:00,22.719999313354492
2023-07-26 18:30:00+00:00,22.843700408935547
2023-07-26 19:30:00+00:00,22.920000076293945
2023-07-26 20:00:00+00:00,22.88
2023-07-26 21:00:00+00:00,22.87
2023-07-26 22:00:00+00:00,22.89
2023-07-26 23:00:00+00:00,22.865
2023-07-27 08:00:00+00:00,22.98
2023-07-27 09:00:00+00:00,22.92
2023-07-27 10:00:00+00:00,22.95
2023-07-27 11:00:00+00:00,23.0
2023-07-27 12:00:00+00:00,22.95
2023-07-27 13:00:00+00:00,22.625
2023-07-27 13:30:00+00:00,22.139999389648438
2023-07-27 14:30:00+00:00,22.197999954223633
2023-07-27 15:30:00+00:00,22.190000534057617
2023-07-27 16:30:00+00:00,22.204999923706055
2023-07-27 17:30:00+00:00,22.170000076293945
2023-07-27 18:30:00+00:00,22.1299991607666
2023-07-27 19:30:00+00:00,22.1200008392334
2023-07-27 20:00:00+00:00,22.15
2023-07-27 21:00:00+00:00,22.19
2023-07-27 22:00:00+00:00,22.18
2023-07-27 23:00:00+00:00,22.17
2023-07-28 08:00:00+00:00,22.15
2023-07-28 09:00:00+00:00,22.18
2023-07-28 10:00:00+00:00,22.26
2023-07-28 11:00:00+00:00,22.28
2023-07-28 12:00:00+00:00,22.26
2023-07-28 13:00:00+00:00,22.25
2023-07-28 13:30:00+00:00,22.270099639892578
2023-07-28 14:30:00+00:00,22.360000610351562
2023-07-28 15:30:00+00:00,22.375
2023-07-28 16:30:00+00:00,22.344999313354492
2023-07-28 17:30:00+00:00,22.33009910583496
2023-07-28 18:30:00+00:00,22.300100326538086
2023-07-28 19:30:00+00:00,22.315000534057617
2023-07-28 20:00:00+00:00,22.33
2023-07-28 21:00:00+00:00,22.33
2023-07-28 22:00:00+00:00,22.36
2023-07-28 23:00:00+00:00,22.34
2023-07-31 08:00:00+00:00,22.24
2023-07-31 09:00:00+00:00,22.27
2023-07-31 10:00:00+00:00,22.3
2023-07-31 11:00:00+00:00,22.38
2023-07-31 12:00:00+00:00,22.39
2023-07-31 13:00:00+00:00,22.46
2023-07-31 13:30:00+00:00,22.739999771118164
2023-07-31 14:30:00+00:00,22.762100219726562
2023-07-31 15:30:00+00:00,22.786300659179688
2023-07-31 16:30:00+00:00,22.764999389648438
2023-07-31 17:30:00+00:00,22.747499465942383
2023-07-31 18:30:00+00:00,22.69499969482422
2023-07-31 19:30:00+00:00,22.690000534057617
2023-07-31 20:00:00+00:00,22.71
2023-07-31 21:00:00+00:00,22.7
2023-07-31 22:00:00+00:00,22.7
2023-07-31 23:00:00+00:00,22.7
2023-08-01 08:00:00+00:00,22.47
2023-08-01 09:00:00+00:00,22.52
2023-08-01 10:00:00+00:00,22.5
2023-08-01 11:00:00+00:00,22.48
2023-08-01 12:00:00+00:00,22.35
2023-08-01 13:00:00+00:00,22.285
2023-08-01 13:30:00+00:00,22.280000686645508
2023-08-01 14:30:00+00:00,22.149999618530273
2023-08-01 15:30:00+00:00,22.190000534057617
2023-08-01 16:30:00+00:00,22.19499969482422
2023-08-01 17:30:00+00:00,22.2549991607666
2023-08-01 18:30:00+00:00,22.299999237060547
