time,VXX
2023-07-24 08:00:00+00:00,94.84
2023-07-24 09:00:00+00:00,94.88
2023-07-24 11:00:00+00:00,94.88
2023-07-24 12:00:00+00:00,95.16
2023-07-24 13:00:00+00:00,94.84
2023-07-24 13:30:00+00:00,93.27999877929688
2023-07-24 14:30:00+00:00,92.5199966430664
2023-07-24 15:30:00+00:00,93.04000091552734
2023-07-24 16:30:00+00:00,93.08000183105469
2023-07-24 17:30:00+00:00,93.15959930419922
2023-07-24 18:30:00+00:00,93.55999755859375
2023-07-24 19:30:00+00:00,93.16480255126953
2023-07-24 20:00:00+00:00,93.24
2023-07-24 21:00:00+00:00,93.12
2023-07-24 22:00:00+00:00,93.1588
2023-07-24 23:00:00+00:00,93.12
2023-07-25 08:00:00+00:00,92.8
2023-07-25 10:00:00+00:00,93.04
2023-07-25 11:00:00+00:00,93.04
2023-07-25 12:00:00+00:00,93.08
2023-07-25 13:00:00+00:00,93.48
2023-07-25 13:30:00+00:00,91.5199966430664
2023-07-25 14:30:00+00:00,92.5999984741211
2023-07-25 15:30:00+00:00,93.23999786376953
2023-07-25 16:30:00+00:00,92.4000015258789
2023-07-25 17:30:00+00:00,92.22000122070312
2023-07-25 18:30:00+00:00,93.31999969482422
2023-07-25 19:30:00+00:00,93.12000274658203
2023-07-25 20:00:00+00:00,92.8776
2023-07-25 21:00:00+00:00,92.92
2023-07-25 22:00:00+00:00,92.92
2023-07-25 23:00:00+00:00,92.92
2023-07-26 08:00:00+00:00,92.8
2023-07-26 09:00:00+00:00,93.16
2023-07-26 10:00:00+00:00,93.56
2023-07-26 11:00:00+00:00,93.28
2023-07-26 12:00:00+00:00,93.636
2023-07-26 13:00:00+00:00,94.2396
2023-07-26 13:30:00+00:00,91.6707992553711
2023-07-26 14:30:00+00:00,92.45999908447266
2023-07-26 15:30:00+00:00,92.44000244140625
2023-07-26 16:30:00+00:00,92.4000015258789
2023-07-26 17:30:00+00:00,91.9800033569336
2023-07-26 18:30:00+00:00,91.27999877929688
2023-07-26 19:30:00+00:00,90.63999938964844
2023-07-26 20:00:00+00:00,90.8
2023-07-26 21:00:00+00:00,90.72
2023-07-26 22:00:00+00:00,91.0
2023-07-26 23:00:00+00:00,90.72
2023-07-27 08:00:00+00:00,89.72
2023-07-27 09:00:00+00:00,89.56
2023-07-27 10:00:00+00:00,89.56
2023-07-27 11:00:00+00:00,89.64
2023-07-27 12:00:00+00:00,89.36
2023-07-27 13:00:00+00:00,88.96
2023-07-27 13:30:00+00:00,90.26000213623047
2023-07-27 14:30:00+00:00,90.04000091552734
2023-07-27 15:30:00+00:00,89.76000213623047
2023-07-27 16:30:00+00:00,91.83999633789062
2023-07-27 17:30:00+00:00,94.4000015258789
2023-07-27 18:30:00+00:00,96.13999938964844
2023-07-27 19:30:00+00:00,95.27999877929688
2023-07-27 20:00:00+00:00,94.72
2023-07-27 21:00:00+00:00,95.0
2023-07-27 22:00:00+00:00,94.68
2023-07-27 23:00:00+00:00,94.7536
2023-07-28 08:00:00+00:00,93.96
2023-07-28 09:00:00+00:00,93.6
2023-07-28 10:00:00+00:00,93.32
2023-07-28 11:00:00+00:00,92.92
2023-07-28 12:00:00+00:00,92.0
2023-07-28 13:00:00+00:00,92.0
