time,UUP
2023-07-24 08:00:00+00:00,28.05
2023-07-24 10:00:00+00:00,28.03
2023-07-24 11:00:00+00:00,28.01
2023-07-24 12:00:00+00:00,27.995
2023-07-24 13:00:00+00:00,28.015
2023-07-24 13:30:00+00:00,28.05500030517578
2023-07-24 14:30:00+00:00,28.049999237060547
2023-07-24 15:30:00+00:00,28.03499984741211
2023-07-24 16:30:00+00:00,28.024999618530273
2023-07-24 17:30:00+00:00,28.045000076293945
2023-07-24 18:30:00+00:00,28.059999465942383
2023-07-24 19:30:00+00:00,28.059999465942383
2023-07-24 20:00:00+00:00,28.07
2023-07-24 21:00:00+00:00,27.85
2023-07-24 22:00:00+00:00,27.93
2023-07-24 23:00:00+00:00,28.05
2023-07-25 09:00:00+00:00,28.05
2023-07-25 10:00:00+00:00,28.06
2023-07-25 11:00:00+00:00,28.1
2023-07-25 12:00:00+00:00,28.085
2023-07-25 13:00:00+00:00,28.12
2023-07-25 13:30:00+00:00,28.110000610351562
2023-07-25 14:30:00+00:00,28.06999969482422
2023-07-25 15:30:00+00:00,28.05500030517578
2023-07-25 16:30:00+00:00,28.075000762939453
2023-07-25 17:30:00+00:00,28.075000762939453
2023-07-25 18:30:00+00:00,28.047800064086914
2023-07-25 19:30:00+00:00,28.045000076293945
2023-07-25 20:00:00+00:00,28.03
2023-07-25 21:00:00+00:00,28.03
2023-07-25 22:00:00+00:00,27.78
2023-07-25 23:00:00+00:00,28.1
2023-07-26 08:00:00+00:00,28.0
2023-07-26 09:00:00+00:00,27.99
2023-07-26 11:00:00+00:00,27.99
2023-07-26 12:00:00+00:00,28.04
2023-07-26 13:00:00+00:00,28.02
2023-07-26 13:30:00+00:00,28.030000686645508
2023-07-26 14:30:00+00:00,27.990100860595703
2023-07-26 15:30:00+00:00,28.00149917602539
2023-07-26 16:30:00+00:00,28.024999618530273
2023-07-26 17:30:00+00:00,28.040000915527344
2023-07-26 18:30:00+00:00,27.969600677490234
2023-07-26 19:30:00+00:00,27.948999404907227
2023-07-26 20:00:00+00:00,27.97
2023-07-26 21:00:00+00:00,27.945
2023-07-26 22:00:00+00:00,27.9
2023-07-26 23:00:00+00:00,27.95
2023-07-27 08:00:00+00:00,27.87
2023-07-27 10:00:00+00:00,27.87
2023-07-27 11:00:00+00:00,27.85
2023-07-27 12:00:00+00:00,27.95
2023-07-27 13:00:00+00:00,28.08
2023-07-27 13:30:00+00:00,28.180099487304688
2023-07-27 14:30:00+00:00,28.184999465942383
2023-07-27 15:30:00+00:00,28.174999237060547
2023-07-27 16:30:00+00:00,28.142200469970703
2023-07-27 17:30:00+00:00,28.174999237060547
2023-07-27 18:30:00+00:00,28.200000762939453
2023-07-27 19:30:00+00:00,28.209999084472656
2023-07-27 20:00:00+00:00,28.2
2023-07-27 21:00:00+00:00,28.21
2023-07-27 22:00:00+00:00,28.26
2023-07-27 23:00:00+00:00,28.0
2023-07-28 10:00:00+00:00,28.18
2023-07-28 12:00:00+00:00,28.1308
2023-07-28 13:30:00+00:00,28.100000381469727
2023-07-28 14:30:00+00:00,28.1200008392334
2023-07-28 15:30:00+00:00,28.125
2023-07-28 16:30:00+00:00,28.155000686645508
2023-07-28 17:30:00+00:00,28.155000686645508
2023-07-28 18:30:00+00:00,28.15999984741211
2023-07-28 19:30:00+00:00,28.15999984741211
2023-07-28 20:00:00+00:00,28.17
2023-07-28 21:00:00+00:00,28.08
2023-07-28 23:00:00+00:00,28.18
2023-07-31 10:00:00+00:00,28.12
