time,LQD
2026-03-25 08:00:00+00:00,104.47
2026-03-25 08:15:00+00:00,104.47
2026-03-25 08:30:00+00:00,104.47
2026-03-25 08:45:00+00:00,104.47
2026-03-25 08:50:00+00:00,108.98
2026-03-25 09:00:00+00:00,108.98
2026-03-25 09:15:00+00:00,108.98
2026-03-25 09:30:00+00:00,108.98
2026-03-25 09:45:00+00:00,108.92
2026-03-25 10:00:00+00:00,108.92
2026-03-25 10:15:00+00:00,108.98
2026-03-25 10:30:00+00:00,108.98
2026-03-25 10:45:00+00:00,108.98
2026-03-25 10:55:00+00:00,108.96
2026-03-25 11:00:00+00:00,109.05
2026-03-25 11:05:00+00:00,109.05
2026-03-25 11:15:00+00:00,109.05
2026-03-25 11:20:00+00:00,108.95
2026-03-25 11:30:00+00:00,108.95
2026-03-25 11:45:00+00:00,108.95
2026-03-25 12:00:00+00:00,109.0604
2026-03-25 12:20:00+00:00,108.89
2026-03-25 12:30:00+00:00,108.74
2026-03-25 12:35:00+00:00,108.78
2026-03-25 12:40:00+00:00,108.816
2026-03-25 12:45:00+00:00,108.816
2026-03-25 13:00:00+00:00,108.96
2026-03-25 13:30:00+00:00,108.875
2026-03-25 13:35:00+00:00,108.88500213623047
2026-03-25 13:40:00+00:00,108.91500091552734
2026-03-25 13:45:00+00:00,108.79000091552734
2026-03-25 13:50:00+00:00,108.7699966430664
2026-03-25 13:55:00+00:00,108.75
2026-03-25 14:00:00+00:00,108.7249984741211
2026-03-25 14:05:00+00:00,108.7699966430664
2026-03-25 14:10:00+00:00,108.84500122070312
2026-03-25 14:15:00+00:00,108.81500244140625
2026-03-25 14:20:00+00:00,108.7750015258789
2026-03-25 14:25:00+00:00,108.83499908447266
2026-03-25 14:30:00+00:00,108.93499755859375
2026-03-25 14:35:00+00:00,108.91500091552734
2026-03-25 14:40:00+00:00,108.94499969482422
2026-03-25 14:45:00+00:00,108.9749984741211
2026-03-25 14:50:00+00:00,108.99500274658203
2026-03-25 14:55:00+00:00,108.95999908447266
2026-03-25 15:00:00+00:00,108.94499969482422
2026-03-25 15:05:00+00:00,108.88999938964844
2026-03-25 15:10:00+00:00,108.8949966430664
2026-03-25 15:15:00+00:00,108.81500244140625
2026-03-25 15:20:00+00:00,108.95500183105469
2026-03-25 15:25:00+00:00,109.0
2026-03-25 15:30:00+00:00,109.0250015258789
2026-03-25 15:35:00+00:00,108.96499633789062
