time,IWM
2026-03-25 08:00:00+00:00,252.36
2026-03-25 08:05:00+00:00,252.35
2026-03-25 08:10:00+00:00,252.62
2026-03-25 08:15:00+00:00,252.88
2026-03-25 08:20:00+00:00,252.74
2026-03-25 08:25:00+00:00,252.68
2026-03-25 08:30:00+00:00,252.93
2026-03-25 08:35:00+00:00,252.39
2026-03-25 08:40:00+00:00,252.54
2026-03-25 08:45:00+00:00,252.34
2026-03-25 08:50:00+00:00,251.72
2026-03-25 08:55:00+00:00,251.88
2026-03-25 09:00:00+00:00,252.0
2026-03-25 09:05:00+00:00,252.28
2026-03-25 09:10:00+00:00,252.4
2026-03-25 09:15:00+00:00,252.28
2026-03-25 09:20:00+00:00,251.77
2026-03-25 09:25:00+00:00,251.58
2026-03-25 09:30:00+00:00,251.8
2026-03-25 09:35:00+00:00,251.71
2026-03-25 09:40:00+00:00,251.64
2026-03-25 09:45:00+00:00,251.34
2026-03-25 09:50:00+00:00,251.33
2026-03-25 09:55:00+00:00,251.74
2026-03-25 10:00:00+00:00,252.11
2026-03-25 10:05:00+00:00,251.88
2026-03-25 10:10:00+00:00,252.02
2026-03-25 10:15:00+00:00,251.93
2026-03-25 10:20:00+00:00,251.83
2026-03-25 10:25:00+00:00,251.72
2026-03-25 10:30:00+00:00,251.67
2026-03-25 10:35:00+00:00,251.89
2026-03-25 10:40:00+00:00,251.65
2026-03-25 10:45:00+00:00,251.81
2026-03-25 10:50:00+00:00,251.89
2026-03-25 10:55:00+00:00,251.8
2026-03-25 11:00:00+00:00,252.14
2026-03-25 11:05:00+00:00,252.29
2026-03-25 11:10:00+00:00,252.15
2026-03-25 11:15:00+00:00,252.16
2026-03-25 11:20:00+00:00,252.5
2026-03-25 11:25:00+00:00,252.29
2026-03-25 11:30:00+00:00,252.34
2026-03-25 11:35:00+00:00,252.64
2026-03-25 11:40:00+00:00,252.43
2026-03-25 11:45:00+00:00,251.74
2026-03-25 11:50:00+00:00,251.94
2026-03-25 11:55:00+00:00,252.13
2026-03-25 12:00:00+00:00,252.11
2026-03-25 12:05:00+00:00,252.44
2026-03-25 12:10:00+00:00,252.39
2026-03-25 12:15:00+00:00,251.35
2026-03-25 12:20:00+00:00,251.16
2026-03-25 12:25:00+00:00,250.8
2026-03-25 12:30:00+00:00,250.47
2026-03-25 12:35:00+00:00,251.21
2026-03-25 12:40:00+00:00,250.89
2026-03-25 12:45:00+00:00,251.0
2026-03-25 12:50:00+00:00,251.34
2026-03-25 12:55:00+00:00,251.47
2026-03-25 13:00:00+00:00,251.9
2026-03-25 13:05:00+00:00,251.66
2026-03-25 13:10:00+00:00,251.58
2026-03-25 13:30:00+00:00,252.19900512695312
2026-03-25 13:35:00+00:00,252.3800048828125
2026-03-25 13:40:00+00:00,252.10000610351562
2026-03-25 13:45:00+00:00,251.88999938964844
2026-03-25 13:50:00+00:00,251.4600067138672
2026-03-25 13:55:00+00:00,251.13999938964844
2026-03-25 14:00:00+00:00,251.33999633789062
2026-03-25 14:05:00+00:00,251.64999389648438
2026-03-25 14:10:00+00:00,252.22500610351562
2026-03-25 14:15:00+00:00,252.2100067138672
2026-03-25 14:20:00+00:00,252.02999877929688
2026-03-25 14:25:00+00:00,252.32009887695312
