time,EFA
2023-07-24 10:00:00+00:00,73.74
2023-07-24 11:00:00+00:00,73.81
2023-07-24 12:00:00+00:00,73.7
2023-07-24 13:00:00+00:00,73.71
2023-07-24 13:30:00+00:00,73.63999938964844
2023-07-24 14:30:00+00:00,73.8550033569336
2023-07-24 15:30:00+00:00,73.90499877929688
2023-07-24 16:30:00+00:00,73.91500091552734
2023-07-24 17:30:00+00:00,73.8550033569336
2023-07-24 18:30:00+00:00,73.71499633789062
2023-07-24 19:30:00+00:00,73.77999877929688
2023-07-24 20:00:00+00:00,73.79
2023-07-24 21:00:00+00:00,73.7
2023-07-24 22:00:00+00:00,73.78
2023-07-24 23:00:00+00:00,73.65
2023-07-25 09:00:00+00:00,73.96
2023-07-25 11:00:00+00:00,73.83
2023-07-25 12:00:00+00:00,73.85
2023-07-25 13:00:00+00:00,73.75
2023-07-25 13:30:00+00:00,73.90499877929688
2023-07-25 14:30:00+00:00,73.98500061035156
2023-07-25 15:30:00+00:00,73.95010375976562
2023-07-25 16:30:00+00:00,73.94000244140625
2023-07-25 17:30:00+00:00,73.95240020751953
2023-07-25 18:30:00+00:00,73.96549987792969
2023-07-25 19:30:00+00:00,73.88999938964844
2023-07-25 20:00:00+00:00,73.94
2023-07-25 22:00:00+00:00,73.9
2023-07-26 08:00:00+00:00,73.95
2023-07-26 09:00:00+00:00,73.88
2023-07-26 11:00:00+00:00,73.66
2023-07-26 13:00:00+00:00,73.5
2023-07-26 13:30:00+00:00,73.76499938964844
2023-07-26 14:30:00+00:00,73.88999938964844
2023-07-26 15:30:00+00:00,73.94000244140625
2023-07-26 16:30:00+00:00,73.87000274658203
2023-07-26 17:30:00+00:00,73.86499786376953
2023-07-26 18:30:00+00:00,74.0199966430664
2023-07-26 19:30:00+00:00,74.08999633789062
2023-07-26 20:00:00+00:00,74.06
2023-07-26 21:00:00+00:00,74.01
2023-07-26 23:00:00+00:00,74.01
2023-07-27 08:00:00+00:00,75.0
2023-07-27 11:00:00+00:00,74.98
2023-07-27 12:00:00+00:00,74.94
2023-07-27 13:00:00+00:00,74.72
2023-07-27 13:30:00+00:00,74.41649627685547
2023-07-27 14:30:00+00:00,74.4800033569336
2023-07-27 15:30:00+00:00,74.56999969482422
2023-07-27 16:30:00+00:00,74.44000244140625
2023-07-27 17:30:00+00:00,74.1500015258789
2023-07-27 18:30:00+00:00,73.97000122070312
2023-07-27 19:30:00+00:00,73.92500305175781
2023-07-27 20:00:00+00:00,74.06
2023-07-27 23:00:00+00:00,73.92
2023-07-28 08:00:00+00:00,74.09
2023-07-28 10:00:00+00:00,74.29
2023-07-28 12:00:00+00:00,74.58
2023-07-28 13:30:00+00:00,74.58999633789062
2023-07-28 14:30:00+00:00,74.67500305175781
2023-07-28 15:30:00+00:00,74.5999984741211
2023-07-28 16:30:00+00:00,74.3949966430664
2023-07-28 17:30:00+00:00,74.47000122070312
2023-07-28 18:30:00+00:00,74.47000122070312
2023-07-28 19:30:00+00:00,74.45999908447266
2023-07-28 20:00:00+00:00,74.44
2023-07-28 21:00:00+00:00,74.4
2023-07-31 09:00:00+00:00,74.45
2023-07-31 10:00:00+00:00,74.48
2023-07-31 12:00:00+00:00,74.59
2023-07-31 13:00:00+00:00,74.55
2023-07-31 13:30:00+00:00,74.66000366210938
2023-07-31 14:30:00+00:00,74.66000366210938
2023-07-31 15:30:00+00:00,74.54499816894531
2023-07-31 16:30:00+00:00,74.46489715576172
2023-07-31 17:30:00+00:00,74.44719696044922
2023-07-31 18:30:00+00:00,74.3949966430664
2023-07-31 19:30:00+00:00,74.41999816894531
2023-07-31 20:00:00+00:00,74.42
2023-07-31 21:00:00+00:00,74.5
2023-07-31 22:00:00+00:00,74.5
2023-07-31 23:00:00+00:00,74.5
2023-08-01 08:00:00+00:00,74.0
2023-08-01 09:00:00+00:00,73.98
2023-08-01 10:00:00+00:00,73.87
2023-08-01 11:00:00+00:00,73.89
2023-08-01 12:00:00+00:00,73.67
2023-08-01 13:00:00+00:00,73.67
2023-08-01 13:30:00+00:00,73.66500091552734
2023-08-01 14:30:00+00:00,73.44000244140625
2023-08-01 15:30:00+00:00,73.43550109863281
2023-08-01 16:30:00+00:00,73.47000122070312
2023-08-01 17:30:00+00:00,73.5199966430664
2023-08-01 18:30:00+00:00,73.55500030517578
2023-08-01 19:30:00+00:00,73.52999877929688
2023-08-01 20:00:00+00:00,73.53
2023-08-01 21:00:00+00:00,73.53
2023-08-01 23:00:00+00:00,73.43
2023-08-02 08:00:00+00:00,72.44
2023-08-02 10:00:00+00:00,72.63
2023-08-02 11:00:00+00:00,73.02
2023-08-02 12:00:00+00:00,72.81
2023-08-02 13:00:00+00:00,72.62
2023-08-02 13:30:00+00:00,72.26000213623047
2023-08-02 14:30:00+00:00,72.19999694824219
2023-08-02 15:30:00+00:00,72.23999786376953
2023-08-02 16:30:00+00:00,72.36000061035156
2023-08-02 17:30:00+00:00,72.2750015258789
2023-08-02 18:30:00+00:00,72.12000274658203
2023-08-02 19:30:00+00:00,72.18000030517578
2023-08-02 20:00:00+00:00,72.16
2023-08-02 21:00:00+00:00,72.16
2023-08-02 22:00:00+00:00,72.16
2023-08-02 23:00:00+00:00,72.16
2023-08-03 08:00:00+00:00,71.44
2023-08-03 09:00:00+00:00,71.55
2023-08-03 11:00:00+00:00,71.76
2023-08-03 12:00:00+00:00,72.16
2023-08-03 13:30:00+00:00,71.66000366210938
2023-08-03 14:30:00+00:00,71.9000015258789
2023-08-03 15:30:00+00:00,72.04000091552734
2023-08-03 16:30:00+00:00,72.03500366210938
2023-08-03 17:30:00+00:00,72.0
2023-08-03 18:30:00+00:00,71.91000366210938
2023-08-03 19:30:00+00:00,71.94999694824219
2023-08-03 20:00:00+00:00,72.1
2023-08-03 21:00:00+00:00,71.96
2023-08-04 08:00:00+00:00,72.05
2023-08-04 11:00:00+00:00,71.81
2023-08-04 12:00:00+00:00,72.16
2023-08-04 13:30:00+00:00,72.56999969482422
2023-08-04 14:30:00+00:00,72.77999877929688
2023-08-04 15:30:00+00:00,72.8499984741211
2023-08-04 16:30:00+00:00,72.79000091552734
2023-08-04 17:30:00+00:00,72.36499786376953
2023-08-04 18:30:00+00:00,72.2300033569336
2023-08-04 19:30:00+00:00,72.19000244140625
2023-08-04 20:00:00+00:00,72.24
2023-08-04 21:00:00+00:00,72.24
2023-08-04 22:00:00+00:00,72.35
2023-08-04 23:00:00+00:00,72.24
2023-08-07 08:00:00+00:00,72.24
2023-08-07 10:00:00+00:00,72.17
2023-08-07 12:00:00+00:00,72.4
2023-08-07 13:00:00+00:00,72.65
2023-08-07 13:30:00+00:00,72.5999984741211
2023-08-07 14:30:00+00:00,72.58499908447266
2023-08-07 15:30:00+00:00,72.66000366210938
2023-08-07 16:30:00+00:00,72.66500091552734
2023-08-07 17:30:00+00:00,72.69999694824219
2023-08-07 18:30:00+00:00,72.69999694824219
2023-08-07 19:30:00+00:00,72.7699966430664
2023-08-07 20:00:00+00:00,72.77
2023-08-07 21:00:00+00:00,73.03
2023-08-07 22:00:00+00:00,72.77
2023-08-07 23:00:00+00:00,72.77
2023-08-08 08:00:00+00:00,72.29
2023-08-08 10:00:00+00:00,72.18
2023-08-08 11:00:00+00:00,71.81
2023-08-08 12:00:00+00:00,71.81
2023-08-08 13:00:00+00:00,71.9
2023-08-08 13:30:00+00:00,71.94999694824219
2023-08-08 14:30:00+00:00,72.01499938964844
2023-08-08 15:30:00+00:00,72.08000183105469
2023-08-08 16:30:00+00:00,72.12000274658203
2023-08-08 17:30:00+00:00,72.19999694824219
2023-08-08 18:30:00+00:00,72.3499984741211
2023-08-08 19:30:00+00:00,72.33999633789062
2023-08-08 20:00:00+00:00,72.33
2023-08-08 21:00:00+00:00,72.33
2023-08-08 22:00:00+00:00,72.33
2023-08-09 11:00:00+00:00,72.56
2023-08-09 12:00:00+00:00,72.33
2023-08-09 13:30:00+00:00,72.51499938964844
2023-08-09 14:30:00+00:00,72.26499938964844
2023-08-09 15:30:00+00:00,72.27999877929688
2023-08-09 16:30:00+00:00,72.44499969482422
2023-08-09 17:30:00+00:00,72.54000091552734
2023-08-09 18:30:00+00:00,72.49500274658203
2023-08-09 19:30:00+00:00,72.33000183105469
2023-08-09 20:00:00+00:00,72.38
2023-08-09 21:00:00+00:00,72.75
2023-08-10 08:00:00+00:00,72.91
2023-08-10 11:00:00+00:00,73.01
2023-08-10 12:00:00+00:00,72.93
2023-08-10 13:00:00+00:00,73.12
2023-08-10 13:30:00+00:00,73.3499984741211
2023-08-10 14:30:00+00:00,73.16500091552734
2023-08-10 15:30:00+00:00,72.95999908447266
2023-08-10 16:30:00+00:00,72.73999786376953
2023-08-10 17:30:00+00:00,72.70999908447266
2023-08-10 18:30:00+00:00,72.65499877929688
2023-08-10 19:30:00+00:00,72.62000274658203
2023-08-10 20:00:00+00:00,72.62
2023-08-10 21:00:00+00:00,72.62
2023-08-10 23:00:00+00:00,72.9
2023-08-11 08:00:00+00:00,72.5
2023-08-11 09:00:00+00:00,72.5
2023-08-11 11:00:00+00:00,72.55
2023-08-11 12:00:00+00:00,72.5
2023-08-11 13:00:00+00:00,72.14
2023-08-11 13:30:00+00:00,72.23999786376953
2023-08-11 14:30:00+00:00,72.05999755859375
2023-08-11 15:30:00+00:00,72.0999984741211
2023-08-11 16:30:00+00:00,72.11000061035156
2023-08-11 17:30:00+00:00,72.06999969482422
2023-08-11 18:30:00+00:00,72.08499908447266
2023-08-11 19:30:00+00:00,72.12000274658203
2023-08-11 20:00:00+00:00,72.14
2023-08-11 21:00:00+00:00,72.13
2023-08-11 23:00:00+00:00,72.13
2023-08-14 08:00:00+00:00,72.07
2023-08-14 11:00:00+00:00,71.91
2023-08-14 12:00:00+00:00,71.69
2023-08-14 13:00:00+00:00,71.59
2023-08-14 13:30:00+00:00,71.55999755859375
2023-08-14 14:30:00+00:00,71.7699966430664
2023-08-14 15:30:00+00:00,71.79000091552734
2023-08-14 16:30:00+00:00,71.83000183105469
2023-08-14 17:30:00+00:00,71.75
2023-08-14 18:30:00+00:00,71.75
2023-08-14 19:30:00+00:00,71.81999969482422
2023-08-14 20:00:00+00:00,71.84
2023-08-14 21:00:00+00:00,71.81
2023-08-14 22:00:00+00:00,72.16
2023-08-14 23:00:00+00:00,72.18
2023-08-15 08:00:00+00:00,71.19
2023-08-15 11:00:00+00:00,71.06
2023-08-15 12:00:00+00:00,71.19
